[x_min: 78, x_max: 85], [y_min: 1240, y_max: 1248]
[x_min: 0, x_max: 21], [y_min: 1198, y_max: 1231]
[x_min: 21, x_max: 40], [y_min: 1006, y_max: 1022]
[x_min: 314, x_max: 321], [y_min: 985, y_max: 990]
[x_min: 248, x_max: 255], [y_min: 984, y_max: 992]
[x_min: 25, x_max: 29], [y_min: 975, y_max: 977]
[x_min: 226, x_max: 233], [y_min: 963, y_max: 970]
[x_min: 248, x_max: 257], [y_min: 955, y_max: 970]
[x_min: 34, x_max: 37], [y_min: 932, y_max: 936]
[x_min: 17, x_max: 18], [y_min: 923, y_max: 926]
[x_min: 226, x_max: 233], [y_min: 921, y_max: 930]
[x_min: 311, x_max: 319], [y_min: 920, y_max: 931]
[x_min: 185, x_max: 189], [y_min: 920, y_max: 927]
[x_min: 65, x_max: 90], [y_min: 888, y_max: 896]
[x_min: 248, x_max: 251], [y_min: 880, y_max: 884]
[x_min: 24, x_max: 29], [y_min: 870, y_max: 872]
[x_min: 90, x_max: 94], [y_min: 869, y_max: 870]
[x_min: 104, x_max: 116], [y_min: 868, y_max: 874]
[x_min: 276, x_max: 296], [y_min: 867, y_max: 874]
[x_min: 65, x_max: 77], [y_min: 866, y_max: 874]
[x_min: 273, x_max: 275], [y_min: 861, y_max: 864]
[x_min: 230, x_max: 231], [y_min: 861, y_max: 862]
[x_min: 76, x_max: 82], [y_min: 846, y_max: 852]
[x_min: 130, x_max: 201], [y_min: 812, y_max: 905]
[x_min: 178, x_max: 189], [y_min: 774, y_max: 788]
[x_min: 1080, x_max: 1089], [y_min: 577, y_max: 585]
[x_min: 176, x_max: 192], [y_min: 569, y_max: 573]
[x_min: 1081, x_max: 1088], [y_min: 515, y_max: 524]
[x_min: 867, x_max: 875], [y_min: 492, y_max: 503]
[x_min: 739, x_max: 744], [y_min: 473, y_max: 478]
[x_min: 951, x_max: 961], [y_min: 470, y_max: 480]
[x_min: 955, x_max: 956], [y_min: 452, y_max: 453]
[x_min: 871, x_max: 873], [y_min: 452, y_max: 454]
[x_min: 868, x_max: 896], [y_min: 425, y_max: 448]
[x_min: 925, x_max: 964], [y_min: 421, y_max: 488]
[x_min: 951, x_max: 956], [y_min: 412, y_max: 419]
[x_min: 885, x_max: 897], [y_min: 404, y_max: 417]
[x_min: 772, x_max: 801], [y_min: 393, y_max: 415]
[x_min: 825, x_max: 849], [y_min: 386, y_max: 396]
[x_min: 754, x_max: 757], [y_min: 356, y_max: 357]
[x_min: 953, x_max: 963], [y_min: 344, y_max: 353]
[x_min: 786, x_max: 787], [y_min: 324, y_max: 325]
[x_min: 935, x_max: 937], [y_min: 303, y_max: 306]
[x_min: 808, x_max: 859], [y_min: 298, y_max: 344]
[x_min: 869, x_max: 876], [y_min: 281, y_max: 286]
[x_min: 881, x_max: 885], [y_min: 248, y_max: 253]
[x_min: 890, x_max: 896], [y_min: 236, y_max: 243]
[x_min: 811, x_max: 831], [y_min: 226, y_max: 245]
[x_min: 824, x_max: 831], [y_min: 217, y_max: 224]
[x_min: 773, x_max: 787], [y_min: 204, y_max: 210]
[x_min: 912, x_max: 917], [y_min: 194, y_max: 200]
[x_min: 694, x_max: 705], [y_min: 174, y_max: 187]
[x_min: 665, x_max: 674], [y_min: 162, y_max: 168]
[x_min: 655, x_max: 661], [y_min: 152, y_max: 158]
[x_min: 679, x_max: 680], [y_min: 57, y_max: 58]
[x_min: 269, x_max: 276], [y_min: 56, y_max: 61]
[x_min: 14, x_max: 20], [y_min: 56, y_max: 60]
[x_min: 691, x_max: 707], [y_min: 53, y_max: 67]
[x_min: 455, x_max: 472], [y_min: 49, y_max: 64]
[x_min: 389, x_max: 427], [y_min: 49, y_max: 64]
[x_min: 2628, x_max: 2641], [y_min: 42, y_max: 57]
[x_min: 762, x_max: 817], [y_min: 39, y_max: 66]
[x_min: 2696, x_max: 2701], [y_min: 36, y_max: 44]
[x_min: 498, x_max: 509], [y_min: 35, y_max: 39]
[x_min: 451, x_max: 468], [y_min: 34, y_max: 45]
[x_min: 378, x_max: 380], [y_min: 17, y_max: 18]
[x_min: 206, x_max: 211], [y_min: 16, y_max: 18]
[x_min: 34, x_max: 38], [y_min: 16, y_max: 18]
[x_min: 1242, x_max: 1248], [y_min: 15, y_max: 18]
[x_min: 932, x_max: 938], [y_min: 15, y_max: 18]
[x_min: 225, x_max: 233], [y_min: 15, y_max: 19]
[x_min: 1194, x_max: 1211], [y_min: 14, y_max: 19]
[x_min: 950, x_max: 963], [y_min: 14, y_max: 22]
[x_min: 501, x_max: 511], [y_min: 14, y_max: 20]
[x_min: 396, x_max: 405], [y_min: 14, y_max: 20]
[x_min: 439, x_max: 448], [y_min: 13, y_max: 20]
[x_min: 2582, x_max: 2603], [y_min: 0, y_max: 19]
[x_min: 0, x_max: 2736], [y_min: 0, y_max: 1822]
