[x_min: 635, x_max: 646], [y_min: 1115, y_max: 1120]
[x_min: 697, x_max: 703], [y_min: 1047, y_max: 1059]
[x_min: 695, x_max: 703], [y_min: 1029, y_max: 1035]
[x_min: 432, x_max: 437], [y_min: 996, y_max: 1000]
[x_min: 612, x_max: 616], [y_min: 963, y_max: 978]
[x_min: 628, x_max: 643], [y_min: 960, y_max: 1022]
[x_min: 542, x_max: 558], [y_min: 947, y_max: 985]
[x_min: 607, x_max: 619], [y_min: 940, y_max: 952]
[x_min: 655, x_max: 664], [y_min: 936, y_max: 949]
[x_min: 547, x_max: 553], [y_min: 931, y_max: 942]
[x_min: 634, x_max: 638], [y_min: 923, y_max: 949]
[x_min: 335, x_max: 341], [y_min: 912, y_max: 915]
[x_min: 546, x_max: 555], [y_min: 884, y_max: 897]
[x_min: 321, x_max: 745], [y_min: 866, y_max: 1308]
[x_min: 374, x_max: 382], [y_min: 842, y_max: 857]
[x_min: 547, x_max: 553], [y_min: 829, y_max: 856]
[x_min: 464, x_max: 508], [y_min: 793, y_max: 812]
