[x_min: 1126, x_max: 1127], [y_min: 1662, y_max: 1664]
[x_min: 668, x_max: 669], [y_min: 676, y_max: 678]
[x_min: 701, x_max: 702], [y_min: 666, y_max: 668]
[x_min: 677, x_max: 678], [y_min: 666, y_max: 667]
[x_min: 548, x_max: 550], [y_min: 666, y_max: 669]
[x_min: 654, x_max: 663], [y_min: 665, y_max: 670]
[x_min: 643, x_max: 651], [y_min: 653, y_max: 662]
[x_min: 644, x_max: 649], [y_min: 631, y_max: 638]
[x_min: 623, x_max: 630], [y_min: 630, y_max: 641]
[x_min: 741, x_max: 747], [y_min: 622, y_max: 628]
[x_min: 646, x_max: 649], [y_min: 614, y_max: 617]
[x_min: 795, x_max: 799], [y_min: 589, y_max: 597]
[x_min: 624, x_max: 628], [y_min: 589, y_max: 595]
[x_min: 813, x_max: 821], [y_min: 588, y_max: 597]
[x_min: 770, x_max: 781], [y_min: 586, y_max: 601]
[x_min: 782, x_max: 791], [y_min: 578, y_max: 584]
[x_min: 650, x_max: 748], [y_min: 573, y_max: 663]
[x_min: 793, x_max: 798], [y_min: 569, y_max: 575]
[x_min: 643, x_max: 649], [y_min: 569, y_max: 574]
[x_min: 603, x_max: 606], [y_min: 569, y_max: 573]
[x_min: 666, x_max: 670], [y_min: 568, y_max: 572]
[x_min: 495, x_max: 510], [y_min: 558, y_max: 574]
[x_min: 825, x_max: 831], [y_min: 536, y_max: 541]
[x_min: 772, x_max: 792], [y_min: 535, y_max: 577]
[x_min: 815, x_max: 821], [y_min: 526, y_max: 532]
[x_min: 837, x_max: 842], [y_min: 524, y_max: 530]
[x_min: 826, x_max: 834], [y_min: 516, y_max: 521]
[x_min: 654, x_max: 661], [y_min: 516, y_max: 521]
[x_min: 666, x_max: 668], [y_min: 506, y_max: 508]
[x_min: 817, x_max: 820], [y_min: 505, y_max: 509]
[x_min: 729, x_max: 734], [y_min: 505, y_max: 510]
[x_min: 710, x_max: 714], [y_min: 505, y_max: 510]
[x_min: 453, x_max: 457], [y_min: 503, y_max: 509]
[x_min: 527, x_max: 531], [y_min: 495, y_max: 499]
[x_min: 653, x_max: 663], [y_min: 493, y_max: 500]
[x_min: 733, x_max: 790], [y_min: 492, y_max: 542]
[x_min: 738, x_max: 746], [y_min: 490, y_max: 501]
[x_min: 666, x_max: 669], [y_min: 485, y_max: 488]
[x_min: 816, x_max: 821], [y_min: 484, y_max: 489]
[x_min: 687, x_max: 691], [y_min: 484, y_max: 488]
[x_min: 572, x_max: 574], [y_min: 473, y_max: 475]
[x_min: 730, x_max: 735], [y_min: 463, y_max: 464]
[x_min: 795, x_max: 798], [y_min: 461, y_max: 465]
[x_min: 708, x_max: 717], [y_min: 457, y_max: 472]
[x_min: 754, x_max: 781], [y_min: 455, y_max: 470]
[x_min: 655, x_max: 660], [y_min: 451, y_max: 455]
[x_min: 781, x_max: 793], [y_min: 450, y_max: 457]
[x_min: 738, x_max: 748], [y_min: 449, y_max: 461]
[x_min: 556, x_max: 585], [y_min: 448, y_max: 471]
[x_min: 666, x_max: 670], [y_min: 442, y_max: 445]
[x_min: 597, x_max: 674], [y_min: 442, y_max: 578]
[x_min: 732, x_max: 734], [y_min: 420, y_max: 422]
[x_min: 686, x_max: 692], [y_min: 419, y_max: 425]
[x_min: 615, x_max: 639], [y_min: 407, y_max: 447]
[x_min: 644, x_max: 649], [y_min: 376, y_max: 382]
[x_min: 685, x_max: 693], [y_min: 374, y_max: 384]
[x_min: 404, x_max: 470], [y_min: 374, y_max: 502]
[x_min: 708, x_max: 715], [y_min: 373, y_max: 383]
[x_min: 698, x_max: 704], [y_min: 366, y_max: 370]
[x_min: 442, x_max: 446], [y_min: 366, y_max: 370]
[x_min: 685, x_max: 694], [y_min: 352, y_max: 363]
[x_min: 655, x_max: 674], [y_min: 352, y_max: 371]
[x_min: 739, x_max: 745], [y_min: 323, y_max: 328]
[x_min: 666, x_max: 671], [y_min: 311, y_max: 317]
[x_min: 645, x_max: 646], [y_min: 294, y_max: 295]
[x_min: 858, x_max: 862], [y_min: 292, y_max: 297]
[x_min: 795, x_max: 798], [y_min: 270, y_max: 274]
[x_min: 623, x_max: 628], [y_min: 269, y_max: 274]
[x_min: 836, x_max: 844], [y_min: 245, y_max: 256]
[x_min: 688, x_max: 691], [y_min: 207, y_max: 208]
[x_min: 644, x_max: 646], [y_min: 207, y_max: 210]
[x_min: 391, x_max: 392], [y_min: 207, y_max: 208]
[x_min: 410, x_max: 412], [y_min: 206, y_max: 208]
[x_min: 451, x_max: 457], [y_min: 205, y_max: 211]
[x_min: 429, x_max: 438], [y_min: 203, y_max: 212]
[x_min: 708, x_max: 716], [y_min: 202, y_max: 211]
[x_min: 719, x_max: 722], [y_min: 196, y_max: 199]
[x_min: 582, x_max: 584], [y_min: 185, y_max: 188]
[x_min: 600, x_max: 608], [y_min: 184, y_max: 191]
[x_min: 409, x_max: 415], [y_min: 184, y_max: 190]
[x_min: 387, x_max: 395], [y_min: 183, y_max: 191]
[x_min: 599, x_max: 644], [y_min: 174, y_max: 259]
[x_min: 428, x_max: 468], [y_min: 161, y_max: 202]
[x_min: 463, x_max: 464], [y_min: 153, y_max: 156]
[x_min: 410, x_max: 412], [y_min: 143, y_max: 144]
[x_min: 390, x_max: 392], [y_min: 142, y_max: 146]
[x_min: 399, x_max: 403], [y_min: 133, y_max: 136]
[x_min: 461, x_max: 466], [y_min: 131, y_max: 138]
[x_min: 428, x_max: 459], [y_min: 130, y_max: 159]
[x_min: 431, x_max: 435], [y_min: 121, y_max: 125]
[x_min: 463, x_max: 464], [y_min: 110, y_max: 112]
[x_min: 439, x_max: 449], [y_min: 107, y_max: 116]
[x_min: 451, x_max: 458], [y_min: 97, y_max: 105]
[x_min: 462, x_max: 465], [y_min: 90, y_max: 94]
[x_min: 406, x_max: 427], [y_min: 89, y_max: 110]
[x_min: 604, x_max: 606], [y_min: 57, y_max: 58]
[x_min: 452, x_max: 458], [y_min: 54, y_max: 61]
[x_min: 612, x_max: 617], [y_min: 48, y_max: 50]
[x_min: 458, x_max: 470], [y_min: 46, y_max: 53]
[x_min: 386, x_max: 426], [y_min: 45, y_max: 65]
[x_min: 472, x_max: 553], [y_min: 34, y_max: 86]
[x_min: 527, x_max: 528], [y_min: 27, y_max: 28]
[x_min: 0, x_max: 1681], [y_min: 0, y_max: 1822]
